iter	Logloss
0	0.6881900381
1	0.6830579955
2	0.6778680135
3	0.6730295087
4	0.6682409662
5	0.6637605843
6	0.6604651256
7	0.6562788458
8	0.6521848094
9	0.6479307347
10	0.6451305349
11	0.6420298443
12	0.6382380309
13	0.6345298908
14	0.6307671064
15	0.6272314892
16	0.6237158152
17	0.6202096773
18	0.6161282994
19	0.6126628935
20	0.6093364743
21	0.60614774
22	0.6030533133
23	0.6000439405
24	0.5967870945
25	0.5938451078
26	0.5906715454
27	0.5879945713
28	0.5858826523
29	0.5833090862
30	0.5808041784
31	0.5790948696
32	0.5766750111
33	0.5750397199
34	0.5727113096
35	0.5702211397
36	0.5677881071
37	0.5651670093
38	0.5635330011
39	0.5612664322
40	0.5590054353
41	0.5569320165
42	0.554816936
43	0.5529128306
44	0.550725011
45	0.54834746
46	0.5461903276
47	0.5441122936
48	0.5421225142
49	0.5407994855
50	0.5395681149
51	0.5377415783
52	0.5358479068
53	0.534247745
54	0.5327953434
55	0.5310052763
56	0.5292189475
57	0.5271964979
58	0.5256965304
59	0.5236995491
60	0.5223515671
61	0.5211435594
62	0.5202713247
63	0.5188914035
64	0.5173109048
65	0.5165094299
66	0.515401055
67	0.5139294467
68	0.5127931055
69	0.5114439618
70	0.5100501052
71	0.5088645561
72	0.5075204134
73	0.506370815
74	0.5052356192
75	0.5041401192
76	0.5030121075
77	0.5021891869
78	0.5009271933
79	0.4998955457
80	0.4986688778
81	0.4978124144
82	0.4967899787
83	0.4959105271
84	0.4950979337
85	0.4943177825
86	0.4933402736
87	0.4923192741
88	0.4913958369
89	0.4908230868
90	0.4898354018
91	0.4889369244
92	0.4881442771
93	0.4870893591
94	0.4863666932
95	0.4855299457
96	0.4847211007
97	0.484151232
98	0.4837317158
99	0.4829684678
100	0.4823579306
101	0.4815609444
102	0.4808664967
103	0.4801026436
104	0.4795503766
105	0.4790057703
106	0.4783999058
107	0.4776338135
108	0.4771905312
109	0.4767432406
110	0.4760868752
111	0.4755339931
112	0.4750046647
113	0.4744383069
114	0.4739544055
115	0.4736169067
116	0.473001131
117	0.4723399331
118	0.4720326564
119	0.4713210138
120	0.4705326308
121	0.4699770545
122	0.4692811238
123	0.4687238701
124	0.4681487225
125	0.4675507451
126	0.4670984336
127	0.4669076091
128	0.4664000428
129	0.4660865079
130	0.4657688402
131	0.4654275461
132	0.4649959318
133	0.4646919786
134	0.4642263252
135	0.4637482046
136	0.4632368628
137	0.4625978498
138	0.4623217935
139	0.4618704996
140	0.46137063
141	0.4608050703
142	0.4603146763
143	0.4595611466
144	0.4593751518
145	0.4588395624
146	0.4584077951
147	0.458057212
148	0.4579023792
149	0.4575088892
150	0.4570885015
151	0.4567064734
152	0.456267977
153	0.4559490236
154	0.455286841
155	0.4548782716
156	0.4545021987
157	0.4542409823
158	0.4540041889
159	0.4536748501
160	0.4534333789
161	0.4533262364
162	0.4530088994
163	0.4527034733
164	0.4525206433
165	0.4521667142
166	0.451855217
167	0.4513489226
168	0.4510318462
169	0.4506456193
170	0.4503876425
171	0.4500866554
172	0.4497242615
173	0.4494289218
174	0.4486343365
175	0.4483886092
176	0.4480866865
177	0.4478100076
178	0.4474366202
179	0.4471690462
180	0.4468009786
181	0.4465063337
182	0.4461877036
183	0.445876125
184	0.4455550364
185	0.4453654424
186	0.4451992889
187	0.4450853245
188	0.4448718477
189	0.4447132491
190	0.4442610645
