iter	Logloss
0	0.6899654101
1	0.686411819
2	0.6830057173
3	0.679697778
4	0.6761579523
5	0.6731831119
6	0.6701777795
7	0.6669489184
8	0.6638980436
9	0.6607898887
10	0.657837833
11	0.6554018912
12	0.6530777548
13	0.6503061289
14	0.6478423506
15	0.6456189223
16	0.6427001576
17	0.6400198307
18	0.6377459669
19	0.6354653461
20	0.6331027905
21	0.6308603584
22	0.6286854391
23	0.6261425176
24	0.6240552189
25	0.621591875
26	0.6196097599
27	0.6175954933
28	0.6155065362
29	0.6135467079
